"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"87",3,2,3,0,0,0,0,0,0,0,0,0,1200,0
"88",3,2,4,1,0,0,0,0,0,0,0,0,0,1
"89",3,3,1,0,0,1,0,0,1,0,0,0,2400,0
"90",3,3,2,0,0,0,1,0,0,1,0,0,4800,0
"91",3,3,3,0,1,0,0,1,0,0,1,1,1800,0
"92",3,3,4,1,0,0,0,0,0,0,0,0,0,1
"93",3,4,1,0,1,0,0,1,1,0,0,1,2400,0
"94",3,4,2,0,0,0,0,0,0,0,0,0,1800,0
"95",3,4,3,0,1,1,0,0,0,0,1,1,1200,0
"96",3,4,4,1,0,0,0,0,0,0,0,0,0,1
"97",3,5,1,0,0,0,0,1,1,0,0,0,1200,0
"98",3,5,2,0,0,0,0,0,0,0,1,1,4800,0
"99",3,5,3,0,1,1,0,0,0,1,0,0,3000,0
"100",3,5,4,1,0,0,0,0,0,0,0,0,0,1
"101",3,6,1,0,0,0,0,1,0,1,0,0,2400,0
"102",3,6,2,0,1,0,1,0,0,0,0,1,1800,0
"103",3,6,3,0,1,0,0,0,1,0,0,1,3000,0
"104",3,6,4,1,0,0,0,0,0,0,0,0,0,1
"105",3,7,1,0,1,0,1,0,0,0,1,0,2400,0
"106",3,7,2,0,0,1,0,0,0,0,0,1,3000,0
"107",3,7,3,0,1,0,0,0,0,1,0,0,1800,0
"108",3,7,4,1,0,0,0,0,0,0,0,0,0,1
"109",3,8,1,0,1,0,0,1,0,0,0,0,1200,0
"110",3,8,2,0,0,1,0,0,0,0,1,1,4800,0
"111",3,8,3,0,0,0,1,0,1,0,0,1,1800,0
"112",3,8,4,1,0,0,0,0,0,0,0,0,0,1
"113",3,9,1,0,1,0,0,0,1,0,0,0,2400,0
"114",3,9,2,0,1,1,0,0,0,1,0,1,1200,0
"115",3,9,3,0,0,0,1,0,0,0,1,0,3000,0
"116",3,9,4,1,0,0,0,0,0,0,0,0,0,1
"117",3,10,1,0,1,1,0,0,0,0,1,0,3000,0
"118",3,10,2,0,0,0,0,1,0,0,0,1,4800,0
"119",3,10,3,0,0,0,0,0,0,1,0,1,1200,0
"120",3,10,4,1,0,0,0,0,0,0,0,0,0,1
"121",4,1,1,0,0,0,1,0,0,0,1,1,3000,0
"122",4,1,2,0,0,0,0,0,0,0,0,0,2400,0
"123",4,1,3,0,1,0,0,1,0,1,0,0,1800,0
"124",4,1,4,1,0,0,0,0,0,0,0,0,0,1
"125",4,2,1,0,1,1,0,0,1,0,0,1,1200,0
"126",4,2,2,0,1,0,0,1,0,0,1,1,4800,0
"127",4,2,3,0,0,0,0,0,0,0,0,0,1800,0
"128",4,2,4,1,0,0,0,0,0,0,0,0,0,1
"129",4,3,1,0,0,0,1,0,0,1,0,1,3000,0
"130",4,3,2,0,0,0,0,1,0,0,1,0,1200,0
"131",4,3,3,0,1,1,0,0,1,0,0,0,4800,0
"132",4,3,4,1,0,0,0,0,0,0,0,0,0,1
"133",4,5,1,0,1,0,0,1,1,0,0,0,3000,0
"134",4,5,2,0,1,0,1,0,0,1,0,0,1200,0
"135",4,5,3,0,0,1,0,0,0,0,1,1,2400,0
"136",4,5,4,1,0,0,0,0,0,0,0,0,0,1
"137",4,6,1,0,0,0,0,1,0,1,0,1,2400,0
"138",4,6,2,0,0,0,0,0,0,0,0,1,4800,0
"139",4,6,3,0,1,0,1,0,0,0,1,0,1800,0
"140",4,6,4,1,0,0,0,0,0,0,0,0,0,1
"141",4,7,1,0,1,0,0,0,1,0,0,1,1800,0
"142",4,7,2,0,0,1,0,0,0,0,0,0,3000,0
"143",4,7,3,0,1,0,1,0,0,1,0,1,4800,0
"144",4,7,4,1,0,0,0,0,0,0,0,0,0,1
"145",4,8,1,0,0,0,0,0,0,0,1,0,1200,0
"146",4,8,2,0,1,1,0,0,0,0,0,1,2400,0
"147",4,8,3,0,0,0,0,1,1,0,0,0,4800,0
"148",4,8,4,1,0,0,0,0,0,0,0,0,0,1
"149",4,9,1,0,0,0,1,0,1,0,0,1,1200,0
"150",4,9,2,0,0,1,0,0,0,1,0,0,1800,0
"151",4,9,3,0,1,0,0,0,0,0,0,0,3000,0
"152",4,9,4,1,0,0,0,0,0,0,0,0,0,1
"153",4,10,1,0,1,1,0,0,1,0,0,1,1200,0
"154",4,10,2,0,0,0,1,0,0,0,0,0,2400,0
"155",4,10,3,0,1,0,0,1,0,0,1,1,1800,0
"156",4,10,4,1,0,0,0,0,0,0,0,0,0,1
"157",4,11,1,0,0,0,0,1,0,1,0,1,3000,0
"158",4,11,2,0,0,0,1,0,0,0,0,1,1800,0
"159",4,11,3,0,1,0,0,0,0,0,1,0,4800,0
"160",4,11,4,1,0,0,0,0,0,0,0,0,0,1
"161",5,1,1,0,1,0,0,1,0,0,0,0,3000,0
"162",5,1,2,0,1,0,1,0,0,1,0,1,2400,0
"163",5,1,3,0,0,1,0,0,0,0,1,1,4800,0
"164",5,1,4,1,0,0,0,0,0,0,0,0,0,1
"165",5,3,1,0,0,0,0,1,0,1,0,0,1800,0
"166",5,3,2,0,0,0,0,0,0,0,1,1,1200,0
"167",5,3,3,0,1,0,1,0,1,0,0,0,4800,0
"168",5,3,4,1,0,0,0,0,0,0,0,0,0,1
"169",5,4,1,0,1,0,0,0,0,0,1,1,2400,0
"170",5,4,2,0,1,0,1,0,0,0,0,1,4800,0
"171",5,4,3,0,0,1,0,0,1,0,0,0,3000,0
"172",5,4,4,1,0,0,0,0,0,0,0,0,0,1
"173",5,5,1,0,1,1,0,0,1,0,0,0,2400,0
"174",5,5,2,0,0,0,0,1,0,0,1,1,1800,0
"175",5,5,3,0,1,0,0,0,0,1,0,0,1200,0
"176",5,5,4,1,0,0,0,0,0,0,0,0,0,1
"177",5,6,1,0,1,0,0,1,0,0,1,0,4800,0
"178",5,6,2,0,0,0,1,0,0,0,0,1,3000,0
