"respnum";"probit";"logit";"agree";"probinside";"howmany";"pm_outhit_logit";"pm_outhit_probit";"type_observed";"probit_max";"logit_max"
"424";0.057;0.039;TRUE;1;4;0.4;0.413;"In";"Info rich";"Info rich"
"425";0;0;TRUE;1;4;0.4735;0.476;"In";"Info rich";"Info rich"
"426";0;0.012;TRUE;0.785714285714286;4;0.13;0.132;"Mix";"Info rich";"Info rich"
"427";0;0;TRUE;0.714285714285714;5;0.851;0.8725;"Mix";"Info rich";"Info rich"
"428";0.283;0.1;TRUE;0.714285714285714;5;0.3865;0.387;"Mix";"Info rich";"Info rich"
"429";0;0.002;TRUE;1;4;0.465;0.547;"In";"Info rich";"Info rich"
"430";0;0.007;TRUE;0.714285714285714;5;0.596;0.5255;"Mix";"Info rich";"Info rich"
"431";0;0;TRUE;1;4;0.47;0.468;"In";"Info rich";"Info rich"
"432";0.049;0.006;TRUE;0.928571428571429;5;0.208;0.211;"Mix";"Info rich";"Info rich"
"433";0.402;0.667;FALSE;0.714285714285714;5;0.2585;0.3095;"Mix";"Info rich";"Info poor"
"434";0.009;0.056;TRUE;1;4;0.1255;0.1605;"In";"Info rich";"Info rich"
"435";0;0.002;TRUE;0.5;5;0.406;0.4345;"Mix";"Info rich";"Info rich"
"436";0.047;0.091;TRUE;1;4;0.606;0.634;"In";"Info rich";"Info rich"
"437";0;0.001;TRUE;0.428571428571429;3;0.654;0.6635;"Mix";"Info rich";"Info rich"
"438";0;0.059;TRUE;0.357142857142857;4;0.3045;0.2315;"Mix";"Info rich";"Info rich"
"439";0;0.002;TRUE;0.714285714285714;5;0.4985;0.563;"Mix";"Info rich";"Info rich"
"440";0;0.001;TRUE;0.0714285714285714;2;0.9705;0.968;"Mix";"Info rich";"Info rich"
"441";0;0;TRUE;1;4;0.4155;0.405;"In";"Info rich";"Info rich"
"442";0;0.147;TRUE;0.142857142857143;3;0.6465;0.5115;"Mix";"Info rich";"Info rich"
"443";0.518;0.42;FALSE;0.785714285714286;5;0.5415;0.4635;"Mix";"Info poor";"Info rich"
"444";0;0;TRUE;0;1;0.992;0.9865;"Out";"Info rich";"Info rich"
"445";0.998;0.988;TRUE;0.785714285714286;5;0.303;0.3145;"Mix";"Info poor";"Info poor"
"446";0.242;0.184;TRUE;1;4;0.277;0.358;"In";"Info rich";"Info rich"
"447";0;0;TRUE;1;4;0.4265;0.342;"In";"Info rich";"Info rich"
"448";0;0;TRUE;0.357142857142857;5;0.504;0.5175;"Mix";"Info rich";"Info rich"
"449";0;0;TRUE;0;1;0.9845;0.9735;"Out";"Info rich";"Info rich"
"450";0;0.042;TRUE;0.357142857142857;4;0.5445;0.5665;"Mix";"Info rich";"Info rich"
"451";0.995;0.999;TRUE;0.714285714285714;5;0.245;0.264;"Mix";"Info poor";"Info poor"
"452";0;0;TRUE;1;4;0.6555;0.649;"In";"Info rich";"Info rich"
"453";0;0.006;TRUE;0.642857142857143;4;0.5665;0.594;"Mix";"Info rich";"Info rich"
"454";0;0;TRUE;0.642857142857143;5;0.719;0.694;"Mix";"Info rich";"Info rich"
"455";0;0.02;TRUE;0.928571428571429;5;0.5585;0.6355;"Mix";"Info rich";"Info rich"
"456";0;0;TRUE;0.928571428571429;5;0.809;0.797;"Mix";"Info rich";"Info rich"
"457";0.002;0.003;TRUE;1;3;0.481;0.4865;"In";"Info rich";"Info rich"
"458";0;0.001;TRUE;0;1;0.98;0.9675;"Out";"Info rich";"Info rich"
"459";0;0.321;TRUE;0.285714285714286;4;0.5095;0.5085;"Mix";"Info rich";"Info rich"
"460";0;0.024;TRUE;0.214285714285714;2;0.702;0.7225;"Mix";"Info rich";"Info rich"
"461";0;0.008;TRUE;1;4;0.3065;0.3705;"In";"Info rich";"Info rich"
"462";0;0.004;TRUE;1;4;0.747;0.741;"In";"Info rich";"Info rich"
"463";0.99;0.997;TRUE;0.857142857142857;5;0.226;0.248;"Mix";"Info poor";"Info poor"
"464";0.012;0.003;TRUE;1;4;0.5765;0.625;"In";"Info rich";"Info rich"
"465";0;0.001;TRUE;0.428571428571429;3;0.862;0.8275;"Mix";"Info rich";"Info rich"
"466";0;0.006;TRUE;0.714285714285714;4;0.5035;0.5085;"Mix";"Info rich";"Info rich"
"467";0.011;0.004;TRUE;0.714285714285714;5;0.579;0.6065;"Mix";"Info rich";"Info rich"
"468";0;0.002;TRUE;0;1;0.957;0.9545;"Out";"Info rich";"Info rich"
"469";0;0.003;TRUE;0.642857142857143;5;0.5335;0.5175;"Mix";"Info rich";"Info rich"
"470";0;0;TRUE;1;3;0.227;0.2855;"In";"Info rich";"Info rich"
"471";0;0;TRUE;0.571428571428571;4;0.0565;0.038;"Mix";"Info rich";"Info rich"
"472";0;0;TRUE;0.928571428571429;5;0.658;0.6605;"Mix";"Info rich";"Info rich"
"473";0;0;TRUE;0.928571428571429;5;0.58;0.6295;"Mix";"Info rich";"Info rich"
"474";0.428;0.289;TRUE;0.857142857142857;5;0.1705;0.202;"Mix";"Info rich";"Info rich"
"475";0;0.004;TRUE;1;4;0.3945;0.3785;"In";"Info rich";"Info rich"
"476";0;0;TRUE;1;4;0.1535;0.1525;"In";"Info rich";"Info rich"
"477";0;0;TRUE;0;1;0.9595;0.9575;"Out";"Info rich";"Info rich"
"478";0;0;TRUE;0.642857142857143;4;0.4115;0.415;"Mix";"Info rich";"Info rich"
"479";0.021;0.008;TRUE;1;4;0.426;0.359;"In";"Info rich";"Info rich"
"480";0;0.075;TRUE;0.142857142857143;3;0.8245;0.7475;"Mix";"Info rich";"Info rich"
"481";0;0;TRUE;1;4;0.654;0.6;"In";"Info rich";"Info rich"
"482";0;0;TRUE;1;4;0.3835;0.3095;"In";"Info rich";"Info rich"
"483";0.044;0.598;FALSE;0.928571428571429;5;0.2015;0.1735;"Mix";"Info rich";"Info poor"
"484";0;0;TRUE;0.928571428571429;4;0.772;0.7925;"Mix";"Info rich";"Info rich"
"485";0.053;0.077;TRUE;0.857142857142857;5;0.1535;0.1905;"Mix";"Info rich";"Info rich"
"486";0;0;TRUE;0.785714285714286;5;0.5645;0.4735;"Mix";"Info rich";"Info rich"
"487";0;0.003;TRUE;0.5;4;0.7345;0.8;"Mix";"Info rich";"Info rich"
"488";0;0.003;TRUE;0.714285714285714;3;0.5655;0.516;"Mix";"Info rich";"Info rich"
"489";0.928;0.976;TRUE;0.785714285714286;4;0.1285;0.1525;"Mix";"Info poor";"Info poor"
"490";0.509;0.278;FALSE;1;3;0.187;0.208;"In";"Info poor";"Info rich"
"491";0.098;0.148;TRUE;1;4;0.334;0.362;"In";"Info rich";"Info rich"
"492";0;0;TRUE;0.714285714285714;5;0.246;0.243;"Mix";"Info rich";"Info rich"
"493";0;0.001;TRUE;1;4;0.4645;0.4875;"In";"Info rich";"Info rich"
"494";0.74;0.944;TRUE;0.785714285714286;5;0.2845;0.2515;"Mix";"Info poor";"Info poor"
"495";0;0.006;TRUE;0.428571428571429;4;0.4695;0.376;"Mix";"Info rich";"Info rich"
"496";0;0.018;TRUE;0.0714285714285714;2;0.9715;0.9545;"Mix";"Info rich";"Info rich"
"497";0.054;0.029;TRUE;0.857142857142857;4;0.409;0.421;"Mix";"Info rich";"Info rich"
"498";0.33;0.194;TRUE;1;4;0.1255;0.1505;"In";"Info rich";"Info rich"
"499";0;0.001;TRUE;0.0714285714285714;2;0.8175;0.835;"Mix";"Info rich";"Info rich"
"500";0;0.294;TRUE;0.357142857142857;4;0.507;0.6285;"Mix";"Info rich";"Info rich"
"501";0.436;0.674;FALSE;1;4;0.34;0.479;"In";"Info rich";"Info poor"
