"respnum";"probit";"logit";"agree";"probinside";"howmany";"pm_outhit_logit";"pm_outhit_probit";"type_observed";"probit_max";"logit_max"
"142";0.113;0.093;TRUE;0.928571428571429;5;0.3925;0.415;"Mix";"Info rich";"Info rich"
"143";0;0.007;TRUE;0.5;4;0.902;0.8495;"Mix";"Info rich";"Info rich"
"144";0;0.009;TRUE;0.285714285714286;3;0.714;0.7135;"Mix";"Info rich";"Info rich"
"145";0.117;0.096;TRUE;0.928571428571429;5;0.348;0.351;"Mix";"Info rich";"Info rich"
"146";0.585;0.196;FALSE;1;4;0.344;0.2965;"In";"Info poor";"Info rich"
"147";0.052;0.685;FALSE;0.928571428571429;5;0.186;0.256;"Mix";"Info rich";"Info poor"
"148";0.205;0.058;TRUE;1;4;0.3155;0.2905;"In";"Info rich";"Info rich"
"149";0.666;0.907;TRUE;1;3;0.2015;0.231;"In";"Info poor";"Info poor"
"150";0.676;0.966;TRUE;0.785714285714286;5;0.2345;0.2235;"Mix";"Info poor";"Info poor"
"151";0;0.002;TRUE;0.428571428571429;4;0.6185;0.592;"Mix";"Info rich";"Info rich"
"152";0.028;0;TRUE;1;4;0.275;0.293;"In";"Info rich";"Info rich"
"153";0;0;TRUE;1;4;0.6305;0.5935;"In";"Info rich";"Info rich"
"154";0;0.019;TRUE;0.571428571428571;5;0.5265;0.5495;"Mix";"Info rich";"Info rich"
"155";0.428;0.013;TRUE;0.714285714285714;4;0.603;0.5065;"Mix";"Info rich";"Info rich"
"156";0;0;TRUE;0.714285714285714;5;0.859;0.818;"Mix";"Info rich";"Info rich"
"157";0.215;0.148;TRUE;0.928571428571429;5;0.3725;0.3265;"Mix";"Info rich";"Info rich"
"158";0;0.003;TRUE;1;4;0.7575;0.781;"In";"Info rich";"Info rich"
"159";0;0.001;TRUE;0.785714285714286;5;0.48;0.517;"Mix";"Info rich";"Info rich"
"160";0;0.16;TRUE;0.357142857142857;4;0.2125;0.317;"Mix";"Info rich";"Info rich"
"161";0.895;0.783;TRUE;1;3;0.222;0.2555;"In";"Info poor";"Info poor"
"162";0.396;0.534;FALSE;1;4;0.35;0.383;"In";"Info rich";"Info poor"
"163";0;0.003;TRUE;1;4;0.1365;0.1115;"In";"Info rich";"Info rich"
"164";0.277;0.495;TRUE;1;4;0.2525;0.279;"In";"Info rich";"Info rich"
"165";0.004;0;TRUE;1;4;0.907;0.89;"In";"Info rich";"Info rich"
"166";0;0.226;TRUE;1;4;0.1015;0.242;"In";"Info rich";"Info rich"
"167";0;0.012;TRUE;1;4;0.8385;0.719;"In";"Info rich";"Info rich"
"168";0;0.028;TRUE;0.785714285714286;5;0.865;0.819;"Mix";"Info rich";"Info rich"
"169";0.992;0.998;TRUE;0.642857142857143;4;0.282;0.3225;"Mix";"Info poor";"Info poor"
"170";0.003;0.184;TRUE;0.642857142857143;4;0.251;0.2985;"Mix";"Info rich";"Info rich"
"171";0;0;TRUE;0.571428571428571;4;0.658;0.7155;"Mix";"Info rich";"Info rich"
"172";0;0.001;TRUE;1;4;0.8025;0.817;"In";"Info rich";"Info rich"
"173";0.019;0.041;TRUE;1;4;0.657;0.714;"In";"Info rich";"Info rich"
"174";0;0;TRUE;0.714285714285714;5;0.8405;0.824;"Mix";"Info rich";"Info rich"
"175";0.955;0.99;TRUE;0.714285714285714;4;0.1305;0.123;"Mix";"Info poor";"Info poor"
"176";0;0.027;TRUE;0.857142857142857;5;0.4665;0.54;"Mix";"Info rich";"Info rich"
"177";0.003;0.05;TRUE;0.714285714285714;4;0.0775;0.079;"Mix";"Info rich";"Info rich"
"178";0;0;TRUE;1;4;0.4045;0.3925;"In";"Info rich";"Info rich"
"179";0;0;TRUE;1;4;0.2695;0.3435;"In";"Info rich";"Info rich"
"180";0.002;0.174;TRUE;1;4;0.6155;0.616;"In";"Info rich";"Info rich"
"181";0.825;0.816;TRUE;1;4;0.2765;0.3125;"In";"Info poor";"Info poor"
"182";0;0.002;TRUE;1;4;0.4265;0.399;"In";"Info rich";"Info rich"
"183";0.977;1;TRUE;0.642857142857143;5;0.2575;0.244;"Mix";"Info poor";"Info poor"
"184";0;0;TRUE;1;3;0.706;0.6775;"In";"Info rich";"Info rich"
"185";0;0.056;TRUE;0.357142857142857;4;0.48;0.4435;"Mix";"Info rich";"Info rich"
"186";0.008;0.005;TRUE;0.714285714285714;5;0.32;0.23;"Mix";"Info rich";"Info rich"
"187";0.724;0.329;FALSE;0.285714285714286;3;0.655;0.5015;"Mix";"Info poor";"Info rich"
"188";0.929;0.964;TRUE;0.714285714285714;4;0.322;0.333;"Mix";"Info poor";"Info poor"
"189";0;0;TRUE;1;4;0.849;0.851;"In";"Info rich";"Info rich"
"190";0;0.023;TRUE;0.928571428571429;5;0.382;0.3775;"Mix";"Info rich";"Info rich"
"191";0;0.001;TRUE;0.642857142857143;5;0.236;0.2915;"Mix";"Info rich";"Info rich"
"192";0.574;0.078;FALSE;0.785714285714286;4;0.4865;0.423;"Mix";"Info poor";"Info rich"
"193";0;0.011;TRUE;0.928571428571429;5;0.132;0.3475;"Mix";"Info rich";"Info rich"
"194";0;0;TRUE;1;4;0.904;0.877;"In";"Info rich";"Info rich"
"195";0;0.304;TRUE;0.285714285714286;5;0.433;0.4535;"Mix";"Info rich";"Info rich"
"196";0.091;0.005;TRUE;0.857142857142857;5;0.353;0.436;"Mix";"Info rich";"Info rich"
"197";0.654;0.691;TRUE;1;4;0.333;0.3365;"In";"Info poor";"Info poor"
"198";0.085;0.028;TRUE;0.785714285714286;5;0.58;0.5995;"Mix";"Info rich";"Info rich"
"199";0.588;0.763;TRUE;1;4;0.231;0.299;"In";"Info poor";"Info poor"
"200";0.998;0.954;TRUE;0.571428571428571;4;0.237;0.2615;"Mix";"Info poor";"Info poor"
"201";0;0;TRUE;0;1;0.943;0.928;"Out";"Info rich";"Info rich"
"202";0;0.001;TRUE;0.857142857142857;5;0.337;0.4085;"Mix";"Info rich";"Info rich"
"203";0.643;0.64;TRUE;1;2;0.271;0.281;"In";"Info poor";"Info poor"
"204";0;0.091;TRUE;0.357142857142857;3;0.593;0.578;"Mix";"Info rich";"Info rich"
"205";0;0.001;TRUE;0.285714285714286;3;0.8205;0.819;"Mix";"Info rich";"Info rich"
"206";0;0.001;TRUE;0;1;0.9945;0.9795;"Out";"Info rich";"Info rich"
"207";0.985;1;TRUE;0.928571428571429;5;0.2325;0.199;"Mix";"Info poor";"Info poor"
"208";0;0;TRUE;0.357142857142857;4;0.775;0.738;"Mix";"Info rich";"Info rich"
"209";0.494;0.857;FALSE;1;4;0.2475;0.2395;"In";"Info rich";"Info poor"
"210";0;0.047;TRUE;0.0714285714285714;2;0.5615;0.5525;"Mix";"Info rich";"Info rich"
"211";0;0;TRUE;0.928571428571429;5;0.928;0.901;"Mix";"Info rich";"Info rich"
"212";0;0.027;TRUE;1;4;0.5785;0.607;"In";"Info rich";"Info rich"
"213";0;0.004;TRUE;0.357142857142857;3;0.576;0.593;"Mix";"Info rich";"Info rich"
"214";0;0.003;TRUE;0.928571428571429;5;0.5775;0.62;"Mix";"Info rich";"Info rich"
"215";0;0;TRUE;1;4;0.8495;0.8455;"In";"Info rich";"Info rich"
"216";0;0.001;TRUE;1;4;0.7685;0.7215;"In";"Info rich";"Info rich"
"217";0.388;0.566;FALSE;0.642857142857143;5;0.3315;0.3505;"Mix";"Info rich";"Info poor"
"218";0;0.001;TRUE;0.785714285714286;5;0.716;0.747;"Mix";"Info rich";"Info rich"
"219";0;0;TRUE;0.928571428571429;5;0.242;0.2445;"Mix";"Info rich";"Info rich"
"220";0;0;TRUE;1;4;0.728;0.702;"In";"Info rich";"Info rich"
"221";0.646;0.497;FALSE;1;2;0.2335;0.226;"In";"Info poor";"Info rich"
"222";0;0.015;TRUE;0.357142857142857;3;0.742;0.7745;"Mix";"Info rich";"Info rich"
"223";0.925;1;TRUE;0.928571428571429;5;0.2195;0.2075;"Mix";"Info poor";"Info poor"
"224";0;0;TRUE;1;4;0.835;0.8455;"In";"Info rich";"Info rich"
"225";0;0;TRUE;0.928571428571429;5;0.3005;0.341;"Mix";"Info rich";"Info rich"
"226";0;0.003;TRUE;1;4;0.44;0.5395;"In";"Info rich";"Info rich"
"227";0;0;TRUE;1;3;0.6985;0.653;"In";"Info rich";"Info rich"
"228";0.002;0.003;TRUE;1;4;0.5725;0.612;"In";"Info rich";"Info rich"
"229";0;0.089;TRUE;0.857142857142857;5;0.828;0.8755;"Mix";"Info rich";"Info rich"
"230";0.021;0.02;TRUE;1;4;0.362;0.4435;"In";"Info rich";"Info rich"
"231";0;0.001;TRUE;0.857142857142857;5;0.5995;0.562;"Mix";"Info rich";"Info rich"
"232";0;0.089;TRUE;0.714285714285714;5;0.5175;0.517;"Mix";"Info rich";"Info rich"
"233";0;0.001;TRUE;0;1;0.94;0.9455;"Out";"Info rich";"Info rich"
"234";0;0;TRUE;0;1;0.9595;0.9735;"Out";"Info rich";"Info rich"
"235";0.504;0.618;TRUE;0.428571428571429;5;0.459;0.496;"Mix";"Info poor";"Info poor"
"236";0.382;0.683;FALSE;1;4;0.1615;0.1385;"In";"Info rich";"Info poor"
"237";0.013;0.029;TRUE;0.785714285714286;5;0.6255;0.533;"Mix";"Info rich";"Info rich"
"238";0;0.001;TRUE;1;4;0.8395;0.8155;"In";"Info rich";"Info rich"
"239";0.276;0.033;TRUE;1;4;0.3955;0.322;"In";"Info rich";"Info rich"
"240";0;0.003;TRUE;0.642857142857143;4;0.7345;0.7625;"Mix";"Info rich";"Info rich"
"241";0.581;0.801;TRUE;1;4;0.277;0.264;"In";"Info poor";"Info poor"
"242";0.193;0.569;FALSE;0.214285714285714;3;0.694;0.686;"Mix";"Info rich";"Info poor"
"243";0;0;TRUE;0.642857142857143;5;0.7415;0.7795;"Mix";"Info rich";"Info rich"
"244";0.003;0.043;TRUE;1;3;0.371;0.413;"In";"Info rich";"Info rich"
"245";0;0;TRUE;1;4;0.288;0.3275;"In";"Info rich";"Info rich"
"246";0;0.001;TRUE;0.642857142857143;5;0.4365;0.4045;"Mix";"Info rich";"Info rich"
"247";0;0.001;TRUE;0.785714285714286;4;0.44;0.4525;"Mix";"Info rich";"Info rich"
"248";0;0;TRUE;1;4;0.943;0.8915;"In";"Info rich";"Info rich"
"249";0;0.031;TRUE;0.785714285714286;5;0.376;0.4085;"Mix";"Info rich";"Info rich"
"250";0;0.001;TRUE;1;4;0.352;0.4185;"In";"Info rich";"Info rich"
"251";0;0.042;TRUE;0.642857142857143;5;0.343;0.3925;"Mix";"Info rich";"Info rich"
"252";0;0;TRUE;0;1;0.98;0.9775;"Out";"Info rich";"Info rich"
"253";0;0;TRUE;0.571428571428571;4;0.6105;0.5855;"Mix";"Info rich";"Info rich"
"254";0;0;TRUE;0.785714285714286;5;0.904;0.8455;"Mix";"Info rich";"Info rich"
"255";0.035;0.049;TRUE;1;4;0.3115;0.304;"In";"Info rich";"Info rich"
"256";0;0.006;TRUE;0.5;5;0.7815;0.787;"Mix";"Info rich";"Info rich"
"257";0;0.003;TRUE;0.857142857142857;5;0.7915;0.741;"Mix";"Info rich";"Info rich"
"258";0;0;TRUE;1;4;0.8945;0.8805;"In";"Info rich";"Info rich"
"259";0;0.003;TRUE;0.714285714285714;4;0.737;0.7405;"Mix";"Info rich";"Info rich"
"260";0;0.106;TRUE;0.642857142857143;5;0.5665;0.6005;"Mix";"Info rich";"Info rich"
"261";0;0.002;TRUE;0.428571428571429;4;0.757;0.7865;"Mix";"Info rich";"Info rich"
"262";0;0.003;TRUE;0.357142857142857;4;0.8665;0.87;"Mix";"Info rich";"Info rich"
"263";0;0.006;TRUE;0.0714285714285714;2;0.907;0.915;"Mix";"Info rich";"Info rich"
"264";0.177;0.051;TRUE;1;4;0.177;0.2225;"In";"Info rich";"Info rich"
"265";0.16;0.001;TRUE;0.785714285714286;4;0.545;0.5165;"Mix";"Info rich";"Info rich"
"266";0;0.002;TRUE;0.214285714285714;4;0.909;0.881;"Mix";"Info rich";"Info rich"
"267";0;0;TRUE;0.642857142857143;5;0.342;0.324;"Mix";"Info rich";"Info rich"
"268";0.752;0.962;TRUE;0.928571428571429;5;0.1255;0.1335;"Mix";"Info poor";"Info poor"
"269";0;0.002;TRUE;0.428571428571429;4;0.627;0.5545;"Mix";"Info rich";"Info rich"
"270";0;0;TRUE;0.714285714285714;5;0.493;0.514;"Mix";"Info rich";"Info rich"
"271";0.998;1;TRUE;0.857142857142857;4;0.2095;0.265;"Mix";"Info poor";"Info poor"
"272";0.722;0.611;TRUE;1;3;0.286;0.308;"In";"Info poor";"Info poor"
"273";0;0.005;TRUE;0.571428571428571;5;0.703;0.732;"Mix";"Info rich";"Info rich"
"274";0;0;TRUE;0.785714285714286;5;0.2025;0.1885;"Mix";"Info rich";"Info rich"
"275";0;0;TRUE;0.5;4;0.5305;0.372;"Mix";"Info rich";"Info rich"
"276";0.577;0.369;FALSE;1;4;0.238;0.256;"In";"Info poor";"Info rich"
"277";0;0.002;TRUE;0.642857142857143;4;0.647;0.6485;"Mix";"Info rich";"Info rich"
"278";0;0;TRUE;0.571428571428571;5;0.7195;0.6895;"Mix";"Info rich";"Info rich"
"279";0;0.001;TRUE;1;4;0.43;0.425;"In";"Info rich";"Info rich"
"280";0;0;TRUE;1;4;0.3265;0.365;"In";"Info rich";"Info rich"
"281";0;0.017;TRUE;0.142857142857143;3;0.8465;0.826;"Mix";"Info rich";"Info rich"
"282";0;0;TRUE;0.928571428571429;5;0.548;0.5175;"Mix";"Info rich";"Info rich"
"283";0.02;0.01;TRUE;0.928571428571429;5;0.829;0.8365;"Mix";"Info rich";"Info rich"
"284";0.474;0.146;TRUE;1;1;0.146;0.183;"In";"Info rich";"Info rich"
"285";0;0.019;TRUE;0.0714285714285714;2;0.855;0.8385;"Mix";"Info rich";"Info rich"
"286";0;0.003;TRUE;0.285714285714286;4;0.761;0.792;"Mix";"Info rich";"Info rich"
"287";0;0;TRUE;0.428571428571429;4;0.7895;0.7805;"Mix";"Info rich";"Info rich"
"288";0;0;TRUE;1;4;0.7115;0.6845;"In";"Info rich";"Info rich"
"289";0.062;0.181;TRUE;0.5;4;0.186;0.1945;"Mix";"Info rich";"Info rich"
"290";0.141;0.076;TRUE;1;3;0.477;0.454;"In";"Info rich";"Info rich"
"291";0;0;TRUE;1;4;0.647;0.6495;"In";"Info rich";"Info rich"
"292";0.854;0.996;TRUE;0.714285714285714;5;0.1915;0.159;"Mix";"Info poor";"Info poor"
"293";0.034;0.019;TRUE;1;4;0.157;0.1955;"In";"Info rich";"Info rich"
"294";0;0.006;TRUE;0.5;4;0.2825;0.359;"Mix";"Info rich";"Info rich"
"295";0;0.007;TRUE;0.857142857142857;5;0.7535;0.7585;"Mix";"Info rich";"Info rich"
"296";0;0.012;TRUE;1;4;0.3545;0.315;"In";"Info rich";"Info rich"
"297";0.552;0.974;TRUE;0.5;5;0.315;0.295;"Mix";"Info poor";"Info poor"
"298";0;0.012;TRUE;0.785714285714286;5;0.4815;0.5205;"Mix";"Info rich";"Info rich"
"299";0;0.001;TRUE;1;4;0.376;0.409;"In";"Info rich";"Info rich"
"300";0.029;0.619;FALSE;0.428571428571429;5;0.6045;0.703;"Mix";"Info rich";"Info poor"
"301";0;0.002;TRUE;1;4;0.3945;0.3895;"In";"Info rich";"Info rich"
"302";0.013;0.01;TRUE;0.785714285714286;5;0.3555;0.3505;"Mix";"Info rich";"Info rich"
"303";0;0.008;TRUE;0.642857142857143;5;0.3685;0.362;"Mix";"Info rich";"Info rich"
"304";0;0.043;TRUE;0.571428571428571;4;0.6095;0.663;"Mix";"Info rich";"Info rich"
"305";0.877;1;TRUE;0.785714285714286;5;0.35;0.341;"Mix";"Info poor";"Info poor"
"306";0;0;TRUE;0.214285714285714;3;0.498;0.5025;"Mix";"Info rich";"Info rich"
"307";0;0.005;TRUE;0.428571428571429;4;0.598;0.62;"Mix";"Info rich";"Info rich"
"308";0.256;0.159;TRUE;1;4;0.192;0.257;"In";"Info rich";"Info rich"
"309";0.998;0.999;TRUE;0.571428571428571;5;0.2195;0.204;"Mix";"Info poor";"Info poor"
"310";0.907;0.988;TRUE;0.571428571428571;4;0.347;0.3625;"Mix";"Info poor";"Info poor"
"311";0.671;0.687;TRUE;1;2;0.219;0.2585;"In";"Info poor";"Info poor"
"312";0.014;0;TRUE;0.714285714285714;4;0.111;0.1385;"Mix";"Info rich";"Info rich"
"313";0;0;TRUE;0.785714285714286;5;0.1505;0.1425;"Mix";"Info rich";"Info rich"
"314";0;0.001;TRUE;0.0714285714285714;2;0.816;0.831;"Mix";"Info rich";"Info rich"
"315";0;0.008;TRUE;1;4;0.658;0.7125;"In";"Info rich";"Info rich"
"316";0;0;TRUE;1;4;0.4345;0.456;"In";"Info rich";"Info rich"
"317";0;0;TRUE;0.5;4;0.8525;0.8635;"Mix";"Info rich";"Info rich"
"318";0;0.006;TRUE;1;4;0.848;0.792;"In";"Info rich";"Info rich"
"319";0.116;0.022;TRUE;0.5;4;0.4545;0.364;"Mix";"Info rich";"Info rich"
"320";0.808;0.995;TRUE;0.571428571428571;5;0.2385;0.25;"Mix";"Info poor";"Info poor"
"321";0;0.001;TRUE;0.785714285714286;5;0.425;0.517;"Mix";"Info rich";"Info rich"
"322";0;0.001;TRUE;1;4;0.908;0.907;"In";"Info rich";"Info rich"
"323";0;0.004;TRUE;0.714285714285714;4;0.297;0.2715;"Mix";"Info rich";"Info rich"
"324";0;0;TRUE;1;4;0.63;0.561;"In";"Info rich";"Info rich"
"325";0;0.008;TRUE;1;4;0.8725;0.868;"In";"Info rich";"Info rich"
"326";0.95;0.966;TRUE;1;3;0.274;0.325;"In";"Info poor";"Info poor"
"327";0;0.001;TRUE;1;3;0.6115;0.652;"In";"Info rich";"Info rich"
"328";0.297;0.089;TRUE;0.785714285714286;5;0.606;0.5645;"Mix";"Info rich";"Info rich"
"329";0;0;TRUE;1;4;0.8495;0.8465;"In";"Info rich";"Info rich"
"330";0;0.002;TRUE;1;4;0.532;0.543;"In";"Info rich";"Info rich"
"331";0;0.005;TRUE;1;3;0.491;0.4805;"In";"Info rich";"Info rich"
"332";0;0.002;TRUE;1;4;0.6475;0.5495;"In";"Info rich";"Info rich"
"333";0;0;TRUE;1;4;0.3125;0.2925;"In";"Info rich";"Info rich"
"334";0;0.001;TRUE;0;1;0.9835;0.9775;"Out";"Info rich";"Info rich"
"335";0.011;0.015;TRUE;1;4;0.4695;0.4745;"In";"Info rich";"Info rich"
"336";0;0;TRUE;0.928571428571429;4;0.734;0.754;"Mix";"Info rich";"Info rich"
"337";0;0;TRUE;0.428571428571429;4;0.515;0.494;"Mix";"Info rich";"Info rich"
"338";0;0;TRUE;0.857142857142857;5;0.138;0.1395;"Mix";"Info rich";"Info rich"
"339";0.036;0.251;TRUE;0.714285714285714;5;0.2385;0.338;"Mix";"Info rich";"Info rich"
"340";0;0.003;TRUE;0.642857142857143;4;0.6095;0.631;"Mix";"Info rich";"Info rich"
"341";0;0;TRUE;1;4;0.9525;0.941;"In";"Info rich";"Info rich"
"342";0;0.137;TRUE;0.642857142857143;4;0.4235;0.5475;"Mix";"Info rich";"Info rich"
"343";0.924;1;TRUE;0.785714285714286;5;0.1655;0.154;"Mix";"Info poor";"Info poor"
"344";0;0;TRUE;1;4;0.798;0.7615;"In";"Info rich";"Info rich"
"345";0;0.026;TRUE;0.285714285714286;3;0.5575;0.604;"Mix";"Info rich";"Info rich"
"346";0.101;0.163;TRUE;1;4;0.0825;0.072;"In";"Info rich";"Info rich"
"347";0;0.002;TRUE;0.571428571428571;4;0.135;0.126;"Mix";"Info rich";"Info rich"
"348";0;0.001;TRUE;0.142857142857143;3;0.6405;0.6485;"Mix";"Info rich";"Info rich"
"349";0;0.035;TRUE;0.214285714285714;3;0.248;0.256;"Mix";"Info rich";"Info rich"
"350";0;0.062;TRUE;0.642857142857143;5;0.488;0.613;"Mix";"Info rich";"Info rich"
"351";0;0.001;TRUE;0;1;0.9315;0.9275;"Out";"Info rich";"Info rich"
"352";0.098;0.843;FALSE;0.285714285714286;3;0.463;0.6755;"Mix";"Info rich";"Info poor"
"353";0.763;0.672;TRUE;1;4;0.2785;0.248;"In";"Info poor";"Info poor"
"354";0.383;0.215;TRUE;1;4;0.103;0.1295;"In";"Info rich";"Info rich"
"355";0;0.013;TRUE;0.642857142857143;5;0.6335;0.626;"Mix";"Info rich";"Info rich"
"356";0;0.001;TRUE;0;1;0.9925;0.9885;"Out";"Info rich";"Info rich"
"357";0.625;0.501;TRUE;1;2;0.177;0.2235;"In";"Info poor";"Info poor"
"358";0;0.002;TRUE;1;4;0.6995;0.7215;"In";"Info rich";"Info rich"
