"","segMem","outOfSampleHitRates","inSampleHitRates","segLabel"
"426","0.04024","0.65132","0.4751225","Info Rich"
"427","8e-05","0.75368","0.7200475","Info Rich"
"428","0.06828","0.08884","0.4579325","Info Rich"
"429","0","0.61586","0.692605","Info Rich"
"430","0.00228","0.32108","0.564775","Info Rich"
"431","8e-05","0.88564","0.67764","Info Rich"
"432","0.41116","0.54494","0.3634175","Info Rich"
"433","0.96684","0.2372","0.20408","Info Poor"
"434","0.70976","0.23026","0.2637275","Info Poor"
"435","0.00096","0.80274","0.564775","Info Rich"
"436","0.18","0.08294","0.44531","Info Rich"
"437","0.00052","0.63138","0.630745","Info Rich"
"438","0.04908","0.60944","0.5151375","Info Rich"
"439","0.00016","0.30864","0.658775","Info Rich"
"440","0.00012","0.93278","0.7884175","Info Rich"
"441","2e-04","0.67084","0.6324425","Info Rich"
"442","0.00304","0.91626","0.6445925","Info Rich"
"443","0.15396","0.34054","0.45823","Info Rich"
"444","0.00012","0.9904","0.8543925","Info Rich"
"445","0.95484","0.18874","0.2098125","Info Poor"
"446","0.55812","0.27958","0.26782","Info Poor"
"447","0.00028","0.39712","0.674425","Info Rich"
"448","0.00032","0.77048","0.6165675","Info Rich"
"449","4e-05","0.96416","0.8492425","Info Rich"
"450","0.00504","0.26926","0.58827","Info Rich"
"451","1","0.2125","0.1820375","Info Poor"
"452","0","0.7655","0.756035","Info Rich"
"453","0.00072","0.74388","0.6041275","Info Rich"
"454","8e-05","0.4045","0.6550725","Info Rich"
"455","0.00024","0.31016","0.6108725","Info Rich"
"456","8e-05","0.7942","0.7447875","Info Rich"
"457","0.00076","0.58578","0.553775","Info Rich"
"458","8e-05","0.97136","0.84417","Info Rich"
"459","0.00088","0.0407","0.6405275","Info Rich"
"460","0.00072","0.93006","0.6510325","Info Rich"
"461","0.008","0.6993","0.499065","Info Rich"
"462","0.0016","0.91254","0.5722725","Info Rich"
"463","0.99912","0.18128","0.190625","Info Poor"
"464","0.00888","0.63786","0.54347","Info Rich"
"465","0.00216","0.92848","0.668245","Info Rich"
"466","0.00264","0.42558","0.579705","Info Rich"
"467","0.00132","0.51038","0.5122125","Info Rich"
"468","8e-05","0.97092","0.84822","Info Rich"
"469","0.00024","0.32346","0.5664075","Info Rich"
"470","8e-05","0.95264","0.66559","Info Rich"
"471","0.04256","0.56622","0.510325","Info Rich"
"472","4e-05","0.57532","0.726705","Info Rich"
"473","0.00024","0.84046","0.673235","Info Rich"
"474","0.76992","0.2364","0.28545","Info Poor"
"475","0.00012","0.39798","0.65317","Info Rich"
"476","0.00088","0.51034","0.560425","Info Rich"
"477","8e-05","0.96778","0.85861","Info Rich"
"478","0.07","0.64858","0.5151725","Info Rich"
"479","0.00388","0.85712","0.4802625","Info Rich"
"480","4e-04","0.92274","0.7020375","Info Rich"
"481","4e-05","0.22422","0.642685","Info Rich"
"482","0.00044","0.20208","0.629055","Info Rich"
"483","0.60004","0.53472","0.339935","Info Poor"
"484","0","0.86964","0.7593275","Info Rich"
"485","0.00404","0.36954","0.527455","Info Rich"
"486","4e-05","0.83978","0.616795","Info Rich"
"487","0.00056","0.64316","0.60853","Info Rich"
"488","0.00024","0.29314","0.64011","Info Rich"
"489","0.99832","0.21046","0.1899625","Info Poor"
"490","0.95392","0.22944","0.2127725","Info Poor"
"491","0.01308","0.2338","0.4693675","Info Rich"
"492","0.00036","0.66506","0.6147025","Info Rich"
"493","8e-05","0.85348","0.5918275","Info Rich"
"494","0.98608","0.21036","0.221305","Info Poor"
"495","0.00092","0.35542","0.629675","Info Rich"
"496","0.00024","0.89922","0.772565","Info Rich"
"497","0.0062","0.42136","0.5212875","Info Rich"
"498","0.40556","0.15066","0.334135","Info Rich"
"499","0","0.96902","0.767315","Info Rich"
"500","0.52308","0.3391","0.3981475","Info Poor"
"501","0.36976","0.2597","0.358885","Info Rich"
